ID #,Co,Name,Recipes,AvgPct,Rating
ATF-00047,CAP,Cake Batter V2,50,2.02%,
ATF-00048,CAP,Candied Mango,618,3.03%,
ATF-00049,CAP,Candied Watermelon,277,4.23%,
ATF-00050,CAP,Cantaloupe,1749,2.74%,
ATF-00051,CAP,Cappuccino,60,3.82%,
ATF-00052,CAP,Cappuccino V2,105,3.22%,
ATF-00053,CAP,Caramel,517,2.12%,
ATF-00054,CAP,Caramel V2,116,2.33%,
ATF-00055,CAP,Cereal 27,7344,2.88%,
ATF-00056,CAP,Chai Tea,95,2.58%,
ATF-00057,CAP,Cherry Cola,19,4.38%,
ATF-00058,CAP,Cherry Cola Rf,9,6.00%,
ATF-00059,CAP,Chocolate Caramel Peanut,38,1.60%,
ATF-00060,CAP,Chocolate Coconut Almond,3,2.50%,
ATF-00061,CAP,Chocolate Fudge Brownie,195,2.20%,
ATF-00062,CAP,Chocolate Fudge Brownie V2,148,1.75%,
ATF-00063,CAP,Chocolate Fudge Brownie V3,3,1.40%,
ATF-00064,CAP,Chocolate Glazed Doughnut,643,5.11%,
ATF-00065,CAP,Chocolate Raspberry,1,11.00%,
ATF-00066,CAP,Churro,218,2.53%,
ATF-00067,CAP,Cinnamon Coffee Cake,2,4.00%,
ATF-00068,CAP,Cinnamon Danish Swirl,6607,2.26%,
ATF-00069,CAP,Cinnamon Danish Swirl V2,249,2.29%,
ATF-00070,CAP,Cinnamon Sugar,1090,1.46%,
ATF-00071,CAP,Coconut,365,1.96%,
ATF-00072,CAP,Cola Flavor Type Concentrate,11,4.65%,
ATF-00073,CAP,Cola v2,25,2.97%,
ATF-00074,CAP,Concord Grape With Stevia,331,3.00%,
ATF-00075,CAP,Cookie Crumble,1052,2.36%,
ATF-00076,CAP,Cool Anise Bliss,31,3.60%,
ATF-00077,CAP,Cool Mint,1068,1.97%,
ATF-00078,CAP,Cranberry,220,2.10%,
ATF-00079,CAP,Creamy Vanilla,1599,1.58%,5(1 review)
ATF-00080,CAP,Creamy Yogurt,2172,2.71%,
ATF-00081,CAP,Creamy Yogurt v2,29,2.06%,
ATF-00082,CAP,Crispy Bacon,2,0.25%,
ATF-00083,CAP,Crunchy Frosted Cookie,120,3.82%,
ATF-00084,CAP,Cucumber,1055,1.94%,
ATF-00085,CAP,Cup A Joe,88,3.11%,
ATF-00086,CAP,Custard Cake,788,2.53%,
ATF-00087,CAP,Custard Cream,144,3.13%,
ATF-00088,CAP,Double Apple,4785,2.81%,
ATF-00089,CAP,Double Chocolate,77,2.22%,
ATF-00090,CAP,Double Chocolate V2,1166,1.43%,
ATF-00091,CAP,Double Watermelon,855,3.36%,
ATF-00092,CAP,Dragon Fruit,623,1.70%,
ATF-00093,CAP,Dutch Chocolate Mint,5,4.12%,
ATF-00094,CAP,Egg Nog,10,1.61%,
ATF-00095,CAP,Energy Drink Rf,75,5.63%,
ATF-00096,CAP,Espresso,10,2.09%,
ATF-00097,CAP,Extra Sweet,963,0.59%,
ATF-00098,CAP,Fig,70,2.19%,
ATF-00099,CAP,Fizz Pop,519,1.41%,
ATF-00100,CAP,French Toast,42,1.55%,
ATF-00101,CAP,French Vanilla,4934,1.96%,
ATF-00102,CAP,French Vanilla V2,461,2.31%,
ATF-00103,CAP,Fresh Guava,54,2.14%,
ATF-00104,CAP,Fresh Pineapple,121,4.33%,
ATF-00105,CAP,Fresh Spearmint,31,2.31%,
ATF-00106,CAP,Frosting,228,1.31%,
ATF-00107,CAP,Fruit Circles,838,5.55%,
ATF-00108,CAP,Fuji Apple,1050,2.82%,
ATF-00109,CAP,Funnel Cake,1031,1.94%,
ATF-00110,CAP,Gingerbread,922,2.00%,
ATF-00111,CAP,Glazed Doughnut,1571,3.47%,
ATF-00112,CAP,Golden Butter,4494,0.96%,
ATF-00113,CAP,Golden Pineapple,6392,2.74%,
ATF-00114,CAP,Graham Cracker,2553,1.64%,
ATF-00115,CAP,Graham Cracker V2,575,1.68%,
ATF-00116,CAP,Grape,156,3.45%,
ATF-00117,CAP,Grape Candy,24,4.19%,4(1 review)
ATF-00118,CAP,Grapefruit,330,3.04%,
ATF-00119,CAP,Greek Yogurt,430,2.87%,
ATF-00120,CAP,Greek Yogurt V2,6,2.77%,
ATF-00121,CAP,Green Apple,313,2.96%,
ATF-00122,CAP,Green Apple Hard Candy,720,7.45%,
ATF-00123,CAP,Green Strawberry,85,2.11%,
ATF-00124,CAP,Grenadine,53,1.94%,
ATF-00125,CAP,Harvest Berry,1567,3.01%,
ATF-00126,CAP,Hazelnut,72,1.64%,
ATF-00127,CAP,Hazelnut V2,64,1.68%,
ATF-00128,CAP,Hibiscus,1538,1.32%,
ATF-00129,CAP,Honey,81,0.75%,
ATF-00130,CAP,Honeydew Melon,630,2.94%,
ATF-00131,CAP,Horchata,388,3.02%,
ATF-00132,CAP,Hot Cinnamon Candy,5,0.36%,
ATF-00133,CAP,Hot Cocoa,49,2.18%,
ATF-00134,CAP,Indo Strawberry #1,23,2.24%,
ATF-00135,CAP,Indo Strawberry #2,47,2.85%,
ATF-00136,CAP,Irish Cream,29,2.58%,
ATF-00137,CAP,Italian Lemon Sicily,1610,2.02%,
ATF-00138,CAP,Jelly Candy,2103,1.92%,
ATF-00139,CAP,Juicy Kiwi,0,0.00%,
ATF-00140,CAP,Juicy Lemon,2782,1.53%,
ATF-00141,CAP,Juicy Orange,2055,2.97%,
ATF-00142,CAP,Juicy Peach,1314,2.97%,
ATF-00143,CAP,Juicy Watermelon,16,4.04%,
ATF-00144,CAP,Kiwi,320,2.36%,
ATF-00145,CAP,Kiwi Strawberry With Stevia,80,4.13%,
ATF-00146,CAP,Lemon Drop,450,1.45%,
ATF-00147,CAP,Lemon Lime,6558,2.10%,
ATF-00148,CAP,Lemon Meringue Pie,2340,3.75%,
ATF-00149,CAP,Lemon Meringue Pie V2,300,4.25%,
ATF-00150,CAP,Licorice,275,2.15%,
ATF-00151,CAP,Lime,281,2.44%,
ATF-00152,CAP,Luscious Strawberry,86,3.04%,5(1 review)
ATF-00153,CAP,Maple (pancake) Syrup,132,1.18%,
ATF-00154,CAP,Maqui Berry Wild Jam,29,3.34%,
ATF-00155,CAP,Marshmallow,2068,1.71%,
ATF-00156,CAP,Marshmallow (new),97,1.32%,
ATF-00157,CAP,Menthol,460,1.72%,
ATF-00158,CAP,Meringue,159,1.39%,
ATF-00159,CAP,Milk Chocolate Toffee,21,2.77%,
ATF-00160,CAP,Milkshake,1164,2.55%,
ATF-00161,CAP,Mixed Berry,29,3.77%,
ATF-00162,CAP,Nectarine,57,1.69%,
ATF-00163,CAP,New York Cheesecake,12302,2.92%,
ATF-00164,CAP,New York Cheesecake V2,385,2.75%,
ATF-00165,CAP,Nut Muffin,271,2.55%,
ATF-00166,CAP,Orange Creamsicle,187,4.32%,
ATF-00167,CAP,Orange Mango With Stevia,134,4.36%,
ATF-00168,CAP,Original Blend,7,3.25%,
ATF-00169,CAP,Passion Fruit,347,2.52%,
ATF-00170,CAP,Peach (w/o Stevia),18,2.93%,
ATF-00171,CAP,Peach With Stevia,43,1.67%,
ATF-00172,CAP,Peaches And Cream,115,4.66%,
ATF-00173,CAP,Peaches And Cream V2,22,3.96%,
ATF-00174,CAP,Peanut Butter,321,2.33%,
ATF-00175,CAP,Peanut Butter V2,88,2.72%,
ATF-00176,CAP,Pear With Stevia,113,1.77%,
ATF-00177,CAP,Peppermint,715,2.16%,
ATF-00178,CAP,Perfect Vanilla Cupcake,72,2.14%,
ATF-00179,CAP,Pina Colada,42,4.73%,
ATF-00180,CAP,Pina Colada V2,22,3.45%,
ATF-00181,CAP,Pink Lemonade,656,3.60%,
ATF-00182,CAP,Pink Punch,41,3.47%,
ATF-00183,CAP,Pomegranate,91,2.93%,
ATF-00184,CAP,Pomegranate V2,116,2.26%,
ATF-00185,CAP,Popcorn,9,3.79%,
ATF-00186,CAP,Popcorn V2,29,1.79%,
ATF-00187,CAP,Powerful Sour,390,1.45%,
ATF-00188,CAP,Pralines & Cream,103,2.36%,
ATF-00189,CAP,Pumpkin Pie (spice),157,1.09%,
ATF-00190,CAP,Rainbow Candy,254,3.79%,
ATF-00191,CAP,Raspberry,484,2.77%,
ATF-00192,CAP,Raspberry V2,326,2.60%,
ATF-00193,CAP,Rhubarb,62,3.01%,
ATF-00194,CAP,Ripe Strawberries,1108,2.79%,
ATF-00195,CAP,Root Beer,50,5.92%,
ATF-00196,CAP,Shisha Raspberry,56,2.48%,
ATF-00197,CAP,Shisha Strawberry,173,2.45%,
ATF-00198,CAP,Shisha Vanilla,104,1.50%,
ATF-00199,CAP,Shortbread,470,2.06%,
ATF-00200,CAP,Simply Vanilla,145,1.60%,
ATF-00201,CAP,Smokey Blend,27,2.36%,
ATF-00202,CAP,Smooth Custard,899,2.71%,
ATF-00203,CAP,Smooth Tobacco,6,5.70%,
ATF-00204,CAP,Sour Blue Raspberry,37,3.02%,
ATF-00205,CAP,Spearmint,191,2.35%,
ATF-00206,CAP,Sticky Bun,248,3.58%,
ATF-00207,CAP,Strawberries And Cream,629,4.61%,
ATF-00208,CAP,Strawberry Bubblegum,18,5.15%,
ATF-00209,CAP,Strawberry Taffy,770,3.08%,
ATF-00210,CAP,Succulent Watermelon,38,3.99%,
ATF-00211,CAP,Sugar Cookie,24672,3.14%,
ATF-00212,CAP,Sugar Cookie V2,1009,2.81%,
ATF-00213,CAP,Sugary Cereal,99,3.73%,
ATF-00214,CAP,Super Sweet,109168,0.65%,1(1 review)
ATF-00215,CAP,Sweet Blend,25,3.08%,
ATF-00216,CAP,Sweet Candy,852,1.27%,
ATF-00217,CAP,Sweet Cream,7221,1.69%,
ATF-00218,CAP,Sweet Currant,910,1.77%,
ATF-00219,CAP,Sweet Guava,7094,3.48%,
ATF-00220,CAP,Sweet Lychee,1040,3.23%,
ATF-00221,CAP,Sweet Mango,5580,3.25%,
ATF-00222,CAP,Sweet Mango V2,46,3.54%,
ATF-00223,CAP,Sweet Strawberry,17221,3.49%,
ATF-00224,CAP,Sweet Strawberry Rf,351,3.34%,
ATF-00225,CAP,Sweet Tangerine,5259,2.23%,
ATF-00226,CAP,Sweet Tangerine Rf,67,2.76%,
ATF-00227,CAP,Sweet Tea,21,3.21%,
ATF-00228,CAP,Sweet Watermelon,1074,3.81%,
ATF-00229,CAP,Tangy Orange,133,2.16%,
ATF-00230,CAP,Tart Cherry,174,2.16%,
ATF-00231,CAP,The Summer Seven,0,0.00%,
ATF-00232,CAP,Toasted Almond,508,1.30%,
ATF-00233,CAP,Tropical Fruit Punch,40,4.74%,
ATF-00234,CAP,Tropical Mango,14,3.42%,
ATF-00235,CAP,True Tobacco,5,5.00%,
ATF-00236,CAP,Vanilla Bean Ice Cream,4840,2.65%,
ATF-00237,CAP,Vanilla Cupcake,2920,2.37%,
ATF-00238,CAP,Vanilla Cupcake V2,628,2.34%,
ATF-00239,CAP,Vanilla Custard,27390,3.00%,
ATF-00240,CAP,Vanilla Custard V2,2091,3.47%,
ATF-00241,CAP,Vanilla Milk Froth,313,2.03%,
ATF-00242,CAP,Vanilla Whipped Cream,5654,1.83%,
ATF-00243,CAP,Vanilla Whipped Cream V2,9,2.49%,
ATF-00244,CAP,Wafer Crunch,67,1.96%,
ATF-00245,CAP,Waffle,93,2.30%,
ATF-00246,CAP,Whipped Marshmallow,673,1.83%,
ATF-00247,CAP,Wild Cherry With Stevia,80,3.68%,
ATF-00248,CAP,Wild Raspberry,45,2.09%,
ATF-00249,CAP,Yellow Cake,767,2.09%,
ATF-00250,CAP,Yellow Peach,1099,2.53%,
ATF-00251,CAP,Zesty Lemon,80,1.68%,
ATF-00252,CNV,Apricot,3,1.75%,
ATF-00253,CNV,Butter,0,0.00%,
ATF-00254,CNV,Cappuccino,9,2.83%,
ATF-00255,CNV,Cookie,96,1.56%,
ATF-00256,CNV,Corn Flakes,93,2.47%,
ATF-00257,CNV,Cotton Candy,1,0.00%,
ATF-00258,CNV,Cranberry,0,0.00%,
ATF-00259,CNV,Cucumber,4,1.44%,
ATF-00260,CNV,Donut,107,1.65%,
ATF-00261,CNV,Fizzy Add,14,2.72%,
ATF-00262,CNV,Grape,90,2.80%,
ATF-00263,CNV,Grapefruit,3,4.00%,
ATF-00264,CNV,Ice Candy,0,0.00%,
ATF-00265,CNV,Kiwi,2,2.00%,
ATF-00266,CNV,Lemon,215,1.72%,
ATF-00267,CNV,Lemon Cream Wafer,701,3.45%,
ATF-00268,CNV,Marshmallow,0,0.00%,
ATF-00269,CNV,Melon,8,1.67%,
ATF-00270,CNV,Natural Tobacco Extract,7,6.68%,
ATF-00271,CNV,Passion Fruit,61,2.11%,
ATF-00272,CNV,Peanut,3,1.27%,
ATF-00273,CNV,Pitaya,23,0.80%,
ATF-00274,CNV,Red Cherry,1,2.00%,
ATF-00275,CNV,Sponge Cake,58,1.79%,
ATF-00276,CNV,Strawberry,176,1.85%,
ATF-00277,CNV,Strawberry Soft Candy,14,1.76%,
ATF-00278,CNV,Sweet Cream,1,1.00%,
ATF-00279,CNV,Vanilla Ice Cream,4,4.04%,
ATF-00280,CNV,Vanilla Pudding,787,2.23%,
ATF-00281,CNV,Watermelon,15,2.10%,
ATF-00282,DIYFS,50/50 Bar,4,8.75%,
ATF-00283,DIYFS,Acai Berry,0,0.00%,
ATF-00284,DIYFS,After Andy Mints,6,8.40%,
ATF-00285,DIYFS,Amaretto,0,0.00%,
ATF-00286,DIYFS,American Blend Tobacco,6,5.06%,
ATF-00287,DIYFS,Angel Food Cake,27,4.63%,
ATF-00288,DIYFS,Angel Food Cake V2,1,3.50%,
ATF-00289,DIYFS,Apple,2,1.50%,
ATF-00290,DIYFS,Apple Crumble,0,0.00%,
ATF-00291,DIYFS,Applegranate,1,10.00%,
ATF-00292,DIYFS,Applon Tobacco,0,0.00%,
ATF-00293,DIYFS,AR Amaretto (PG),3,10.33%,
ATF-00294,DIYFS,AR Amaretto (VG),5,3.51%,
ATF-00295,DIYFS,AR American Blend Blue (PG),11,11.50%,
ATF-00296,DIYFS,AR American Blend Blue (VG),1,6.00%,
ATF-00297,DIYFS,AR American Blend Gold (PG),1,7.00%,
ATF-00298,DIYFS,AR American Blend Gold (VG),0,0.00%,
ATF-00299,DIYFS,AR Aramena Cherry (PG),1,13.00%,
ATF-00300,DIYFS,AR Aramena Cherry (VG),0,0.00%,
ATF-00301,DIYFS,AR Banana (PG),10,3.15%,
ATF-00302,DIYFS,AR Blue Raspberry (PG),45,5.36%,
ATF-00303,DIYFS,AR Blueberry (PG),5,5.03%,
ATF-00304,DIYFS,AR Burly Tobacco (PG),4,3.75%,
ATF-00305,DIYFS,AR Burly Tobacco (VG),0,0.00%,
ATF-00306,DIYFS,AR Cappuccino (PG),1,3.00%,
ATF-00307,DIYFS,AR Cappuccino (VG),0,0.00%,
ATF-00308,DIYFS,AR Caramel (PG),0,0.00%,
ATF-00309,DIYFS,AR Cigar Dom Rep (PG),0,0.00%,
ATF-00310,DIYFS,AR Cigar Dom Rep (VG),1,34.00%,
ATF-00311,DIYFS,AR Cinnamon (PG),1,3.00%,
ATF-00312,DIYFS,AR Coconut (PG),7,10.09%,
ATF-00313,DIYFS,AR Coffee (PG),2,2.25%,
ATF-00314,DIYFS,AR Coffee (VG),0,0.00%,
ATF-00315,DIYFS,AR Cotton Candy (PG),11,1.21%,
ATF-00316,DIYFS,AR Cream (PG),5,1.90%,
ATF-00317,DIYFS,AR Cream (VG),1,17.25%,
ATF-00318,DIYFS,AR Dark Cherry (PG),0,0.00%,
ATF-00319,DIYFS,AR Dark Tobacco (PG),9,6.67%,
ATF-00320,DIYFS,AR Dark Tobacco (VG),0,0.00%,
ATF-00321,DIYFS,AR Energy Green (PG),0,0.00%,
ATF-00322,DIYFS,AR Fresh Hazelnut (PG),0,0.00%,
ATF-00323,DIYFS,AR Fresh Pear (PG),0,0.00%,
ATF-00324,DIYFS,AR Graham Cracker (PG),2,2.25%,
ATF-00325,DIYFS,AR Grape (PG),6,6.70%,
ATF-00326,DIYFS,AR Green Apple (PG),0,0.00%,
ATF-00327,DIYFS,AR Green Guava (PG),5,2.50%,
ATF-00328,DIYFS,AR Green Passion Fruit (PG),3,2.50%,
ATF-00329,DIYFS,AR Honeydew Melon (PG),17,9.06%,
ATF-00330,DIYFS,AR Jasmine Tea (PG),2,16.00%,
ATF-00331,DIYFS,AR Jasmine Tea (VG),1,25.00%,
ATF-00332,DIYFS,AR Kiwi (PG),9,4.93%,
ATF-00333,DIYFS,AR Nougat (PG),1,3.00%,
ATF-00334,DIYFS,AR Orient Tobacco Black (PG),3,1.83%,
ATF-00335,DIYFS,AR Orient Tobacco Black (VG),0,0.00%,
ATF-00336,DIYFS,AR Peach (PG),9,6.09%,
ATF-00337,DIYFS,AR Peanut (PG),4,0.63%,
ATF-00338,DIYFS,AR Pear (PG),5,6.00%,
ATF-00339,DIYFS,AR Pina Colada (PG),3,12.67%,
ATF-00340,DIYFS,AR Pineapple (PG),4,2.63%,
ATF-00341,DIYFS,AR Pineapple juice (PG),3,5.50%,
ATF-00342,DIYFS,AR Pipe Tobacco (PG),0,0.00%,
ATF-00343,DIYFS,AR Pipe Tobacco (VG),0,0.00%,
ATF-00344,DIYFS,AR Praline (PG),0,0.00%,
ATF-00345,DIYFS,AR Raspberry (PG),5,4.44%,
ATF-00346,DIYFS,AR Red Apple (PG),0,0.00%,
ATF-00347,DIYFS,AR Red Passion Fruit (PG),2,13.00%,
ATF-00348,DIYFS,AR Red Strawberry (PG),8,4.08%,
ATF-00349,DIYFS,AR Sweet Watermelon (PG),15,7.70%,
ATF-00350,DIYFS,AR Tiramisu (PG),2,18.90%,
ATF-00351,DIYFS,AR Tiramisu (VG),0,0.00%,
ATF-00352,DIYFS,AR Toasted Marshmallow (PG),4,0.68%,
ATF-00353,DIYFS,AR Tropical Mix (PG),4,8.50%,
ATF-00354,DIYFS,AR Two Apples (PG),1,0.75%,
ATF-00355,DIYFS,AR Vanilla Cheesecake (PG),9,7.78%,
ATF-00356,DIYFS,AR Watermelon (PG),25,6.44%,
ATF-00357,DIYFS,AR Watermelon (VG),5,5.70%,
ATF-00358,DIYFS,AR Wildberry (PG),2,12.00%,
ATF-00359,DIYFS,AR Yellow Mango (PG),25,4.79%,
ATF-00360,DIYFS,AR Yogurt (PG),0,0.00%,
ATF-00361,DIYFS,Arches Apple Pie,0,0.00%,
ATF-00362,DIYFS,B-52,0,0.00%,
ATF-00363,DIYFS,Banana,0,0.00%,
ATF-00364,DIYFS,Banana Bubble Gum,0,0.00%,
ATF-00365,DIYFS,Banana Cluster Nut Cake,2,12.25%,
ATF-00366,DIYFS,Banana Cream,9,2.17%,
ATF-00367,DIYFS,Banana Nut Bread,47,3.88%,
ATF-00368,DIYFS,Banana Nut Muffin,3,10.67%,
ATF-00369,DIYFS,Bananas Foster,0,0.00%,
ATF-00370,DIYFS,Bananas Foster Sweet Coffee,1,16.00%,
ATF-00371,DIYFS,Bella Bacche,5,4.00%,
ATF-00372,DIYFS,Berry Jubilee,0,0.00%,
ATF-00373,DIYFS,Birthday Cake DIY,14,5.99%,
ATF-00374,DIYFS,BlackBerry,4,5.38%,
ATF-00375,DIYFS,Blood JAG,0,0.00%,
ATF-00376,DIYFS,Blood Orange,0,0.00%,
ATF-00377,DIYFS,Bloody Vape DIY,0,0.00%,
ATF-00378,DIYFS,BlueBerry,2,8.00%,
ATF-00379,DIYFS,Blueberry Bella,0,0.00%,
ATF-00380,DIYFS,Blueberry Cheesecake,1,10.00%,
ATF-00381,DIYFS,Blueberry Cobbler,2,8.00%,
ATF-00382,DIYFS,Blueberry Muffin,26,6.95%,
ATF-00383,DIYFS,Blueberry Pound Cake,1,20.00%,
ATF-00384,DIYFS,Brandy,0,0.00%,
ATF-00385,DIYFS,Breakfast Berry Crunch,4,5.75%,
ATF-00386,DIYFS,Brown Sugar,1,0.40%,
ATF-00387,DIYFS,Bubble Gum,5,3.04%,
ATF-00388,DIYFS,Bugs Blood,0,0.00%,
ATF-00389,DIYFS,Butter DIY,0,0.00%,
ATF-00390,DIYFS,Butter Rum,4,1.65%,
ATF-00391,DIYFS,Butterscotch,2,0.63%,
ATF-00392,DIYFS,Cactus Juice,5,8.70%,
ATF-00393,DIYFS,Cafe Coffee,3,2.50%,
ATF-00394,DIYFS,Cafe Latte,6,0.90%,
ATF-00395,DIYFS,Cafe Napoleon Flavoring,45,5.56%,
ATF-00396,DIYFS,Cafe Napoleon V2,6,3.02%,
ATF-00397,DIYFS,Candy Apple,2,0.50%,
ATF-00398,DIYFS,Cantaloupe Flavoring,1,14.00%,
ATF-00399,DIYFS,Caramel,1,3.00%,
ATF-00400,DIYFS,Caramel Apple,0,0.00%,
ATF-00401,DIYFS,Caramel Banana Cream Pie,2,12.00%,
ATF-00402,DIYFS,Caramel Macchiato,1,3.17%,
ATF-00403,DIYFS,Caramel Nut Cheesecake,0,0.00%,
ATF-00404,DIYFS,Caramel PopCorn Balls,0,0.00%,
ATF-00405,DIYFS,Cheesecake,0,0.00%,
ATF-00406,DIYFS,Cherry,0,0.00%,
ATF-00407,DIYFS,Cherry Bubble Gum,0,0.00%,
ATF-00408,DIYFS,Cherry Cola Flavoring,0,0.00%,
ATF-00409,DIYFS,Chocolate,3,4.00%,
ATF-00410,DIYFS,Chocolate Caramel,0,0.00%,
ATF-00411,DIYFS,Chocolate CocoNut Surprise,1,10.00%,
ATF-00412,DIYFS,Chocolate Cookie Rounds,2,3.00%,
ATF-00413,DIYFS,Chocolate Covered Cherries,0,0.00%,
ATF-00414,DIYFS,Chocolate Marshmallow Graham Cookie,0,0.00%,
ATF-00415,DIYFS,Chocolate Mint Cookie Rounds,2,8.00%,
ATF-00416,DIYFS,Chocolate Orange Sticks,0,0.00%,
ATF-00417,DIYFS,Chocolate Raspberry Sticks,0,0.00%,
ATF-00418,DIYFS,Chocolate Toffee Dream,0,0.00%,
ATF-00419,DIYFS,Cigar Leaf,1,3.00%,
ATF-00420,DIYFS,Cinnamon,0,0.00%,
ATF-00421,DIYFS,Cinnamon Roll,1,2.50%,
ATF-00422,DIYFS,Clear Black Cherry,1,0.40%,
ATF-00423,DIYFS,Clear Blue Razz Mt Dewy,3,3.00%,
ATF-00424,DIYFS,Clear Peach DIY,7,11.50%,
ATF-00425,DIYFS,Clear Raspberry DIY,0,0.00%,
ATF-00426,DIYFS,Clear Sour Watermelon Candy,2,13.00%,
ATF-00427,DIYFS,Clear Watermelon DIY,11,4.48%,
ATF-00428,DIYFS,Clearly Coffee,0,0.00%,
ATF-00429,DIYFS,Clearly Grape,4,12.00%,
ATF-00430,DIYFS,Clove,0,0.00%,
ATF-00431,DIYFS,Cocoa,1,1.00%,
ATF-00432,DIYFS,Coconut,1,6.00%,
ATF-00433,DIYFS,Coconut Pound Cake,0,0.00%,
ATF-00434,DIYFS,Coffee,0,0.00%,
ATF-00435,DIYFS,Coffee Cake,0,0.00%,
ATF-00436,DIYFS,Cookie,1,6.00%,
ATF-00437,DIYFS,Cookie & Cream,0,0.00%,
ATF-00438,DIYFS,Cotton Candy,0,0.00%,
ATF-00439,DIYFS,Cowboy Killer Flavoring,2,10.00%,
ATF-00440,DIYFS,Cowgirl Silver Flavoring,0,0.00%,
ATF-00441,DIYFS,CranApple,0,0.00%,
ATF-00442,DIYFS,Cranberry,0,0.00%,
ATF-00443,DIYFS,Cream Soda,0,0.00%,
ATF-00444,DIYFS,Creme de Cafe,0,0.00%,
ATF-00445,DIYFS,Creme De Menthe,0,0.00%,
ATF-00446,DIYFS,Dairy,2,1.10%,
ATF-00447,DIYFS,Daquairi,0,0.00%,
ATF-00448,DIYFS,Dejarm,0,0.00%,
ATF-00449,DIYFS,Donut,25,7.98%,
ATF-00450,DIYFS,Dragon Fruit,0,0.00%,
ATF-00451,DIYFS,Dulce De Leche,0,0.00%,
ATF-00452,DIYFS,Ecstacy,0,0.00%,
ATF-00453,DIYFS,Egg Nog,0,0.00%,
ATF-00454,DIYFS,Elvis Prestley,0,0.00%,
ATF-00455,DIYFS,French Cafe Napoleon,3,1.75%,
ATF-00456,DIYFS,French Cafe Napoleon V2,0,0.00%,
ATF-00457,DIYFS,French Vanilla,65,2.32%,
ATF-00458,DIYFS,French Vanilla V2,2,3.00%,
ATF-00459,DIYFS,Fruit Chew,0,0.00%,
ATF-00460,DIYFS,Fruit Licorice Bites,1,0.50%,
ATF-00461,DIYFS,Fruit Smoothie,2,4.00%,
ATF-00462,DIYFS,Fruity Bubble Gum,0,0.00%,
ATF-00463,DIYFS,Fuzzy Pom,0,0.00%,
ATF-00464,DIYFS,Gooey Butter Cake,16,4.14%,
ATF-00465,DIYFS,Gooey Butter Cake V2,1,20.00%,
ATF-00466,DIYFS,Graham Cracker,3,3.43%,
ATF-00467,DIYFS,Grape Bubble Gum,10,8.44%,
ATF-00468,DIYFS,Grapple,0,0.00%,
ATF-00469,DIYFS,Green Machine,1,5.00%,
ATF-00470,DIYFS,Guava,0,0.00%,
ATF-00471,DIYFS,Gunz Blazin,1,3.00%,
ATF-00472,DIYFS,Hawaii 5 O,0,0.00%,
ATF-00473,DIYFS,Hawaiian Punch,2,13.50%,
